Åland Social Democrats	specialization	political party
Éclépens	specialization	municipality
Ózd	specialization	town
Øystein Runde	specialization	comics writer
Þorsteinn Pálsson	specialization	Prime Minister of Iceland
İbrahim Parlak	specialization	man
Winchester	specialization	rifle cartridge
Sésame	specialization	children's television series
Mai	specialization	metro station
FC Magdeburg	specialization	German association football club
Trucker	specialization	arcade game
Grant	specialization	scholarship
2Day FM	specialization	broadcasting
Days	specialization	show
3rd/4th Cavalry Regiment	specialization	armoured regiment
Gorkha Rifles	specialization	regiment
51st Battalion , Far North Queensland Regiment	specialization	battalion
Love	specialization	law
Call to Arms	specialization	debut
Mathematical Theory	specialization	title
Morning	specialization	fifth studio album
Series of	specialization	second album
Bound	specialization	Swedish film
Noughts	specialization	film
ABC	specialization	free software
Abdelnasser Ouadah	specialization	footballer
Abdoulaye Ascofaré	specialization	Mali
Aberfeldie	specialization	km
Abhijeet Sawant	specialization	playback singer
Abigail	specialization	Diamond album
Abobo	specialization	suburb
Abteen	specialization	character
Abuna River	specialization	river
Aby	specialization	village
Abyss	specialization	wrestler
Acappella	specialization	vocal group
Accordion	specialization	game
Acerbas	specialization	person
Acorn Communicator	specialization	computer
Boosting	specialization	form
Adamov	specialization	town
Addison Bain	specialization	scientist
Adirondak Loj	specialization	lodge
Admiralty Board	specialization	body
İzmir Adnan Menderes International Airport	specialization	airport
Adobe Premiere Elements	specialization	video editing app
Aerial Board of Control	specialization	supranational organization
Afro-Caribbean music	specialization	term
Agnihotri	specialization	surname
Ahlden House	specialization	stately home
Continental Congress	time	1775
Arboretum	time	1997
Barpeta district	time	1983
Office	time	1972
He	time	1953
Province	time	1915
Chorion	time	April 1998
In	time	1995
Canada	time	1967
Foyle	time	1983
Hertzig	time	1950s
He	time	2001
Fluffytail	time	1953
HRSA	time	1982
Chips	time	1995
Hpnotiq	time	2001
He	time	1994
He	time	1893
Association	time	1955
Foundation	time	1988
IRW	time	2009
Rasheeda	time	2007
Alumni	time	1968
CHP	time	2003
Herbert	time	1937
Encomienda	time	1582
Telltale	time	2010
Traditional IRAs	time	1975
Prot	time	1986
Department	time	1856
Park	time	1912
Big Bend Water District	time	1983
Partners	time	1996
Hall	time	1990s
Gauguin	time	1886
Chartered Semiconductor	time	1987
Company	time	1908
CCs	time	1975
Somodevilla	time	1736
TJ	time	1958
Program	time	1997
Macharski	time	June 1979
George	time	1979
Program	time	1993
Foundation	time	2007
ICH	time	April 1990
Brun	time	1909
LLL	time	1979
It	time	1935
Lumberton Independent School District	time	1967
duiker	size	large
rainfall	size	little
Pistacia chinensis	size	small
Garden	size	large
Aders ' duiker	size	small
chemical oxygen demand	size	little
Skating	size	large
Bensen B-8	size	small
blue duiker	size	small
Burlington Air Park	size	small
Studio	size	small
frequency	size	little
island	size	giant
primary	size	giant
spider	size	large
spiral staircase	size	narrow
Carlitox	size	short
Alpheton	size	small
supply	size	small
ι Capricorni	size	giant
lenses	similarity	lenses
Aswardby	similarity	Aswarby
BRDM-2	similarity	car
point	similarity	Citizens
intolerance	similarity	allergies
Thomas	similarity	Thomas
Duration	similarity	work
Enterprise Messaging System	similarity	system
sandals	similarity	shoes
it	similarity	San Francisco National Cemetery
John	similarity	John William Foster
Laboratory tubes	similarity	glass tubing
Letter-spacing	similarity	kerning
enlargement	similarity	disease
MLST	similarity	barcoding
system	similarity	steering
Repeaters	similarity	s
SagDIG	similarity	Sagittarius Dwarf Elliptical Galaxy
fort	similarity	fort
ryū	similarity	Okinawa
notion	similarity	notion
Precipitation	similarity	cloud
opinions	similarity	question
Solos	similarity	crossings
energy	similarity	energy
CZ	similarity	rifle
battle	similarity	Second Battle of Independence
engagement	similarity	Second Battle of Lexington
town	similarity	Barker
PLMD	similarity	restless leg syndrome
Zilog Z80	purpose	processors
It	purpose	framework
KLM	purpose	commercial
Alphasmart	purpose	keyboard
Settings	purpose	settings
Boyce	purpose	use
Eye	purpose	theme
Island	purpose	ranch
Before	purpose	name
Angels	purpose	home games
Harvard	purpose	creation
Atherton Courthouse	purpose	hospital
Armijo	purpose	formula_25
BSBs	purpose	card
Bass pedals	purpose	adjunct
Fein	purpose	sluggers
Manta	purpose	subject
Gas	purpose	cooking
Bukharic	purpose	language
CAN	purpose	campuses
Fitzroy	purpose	vessel
Centre	purpose	sports
Haven B. Howe House	purpose	Center
I	purpose	second
Cocker	purpose	point
Reserve	purpose	training
Press	purpose	front
Oral	purpose	cases
British	purpose	headquarters
Grade I listed	purpose	events
